Symbol,Name,Address,Sector,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level,Group
A,Agilent Technologies Inc,"5301 Stevens Creek Boulevard
Santa Clara, CA 95051
United States
800 227 9770
https://www.agilent.com",Healthcare,Diagnostics & Research,18000,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",15.0,0.3,6.3,8.6,Low,1.0,11th percentile,Low,ESG
AAP,Advance Auto Parts Inc,"4200 Six Forks Road
Raleigh, NC 27609
United States
540 362 4911
https://www.advanceautoparts.com",Consumer Cyclical,Specialty Retail,40000,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives, and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing, including batteries, starters, and alternators; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. The company has stores in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and independently owned Carquest branded stores in Mexico, Grand Cayman, Caribbean Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",12.0,0.0,3.0,8.0,Moderate,2.0,4th percentile,Negligible,ESG
AAPL,Apple Inc,"One Apple Park Way
Cupertino, CA 95014
United States
408 996 1010
https://www.apple.com",Technology,Consumer Electronics,164000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",17.0,0.6,9.2,6.9,Significant,3.0,15th percentile,Low,ESG
ABBV,Abbvie Inc,"1 North Waukegan Road
North Chicago, IL 60064-6400
United States
847 932 7900
https://www.abbvie.com",Healthcare,Drug Manufacturers—General,50000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide. The company offers Humira, a therapy administered as an injection for autoimmune, intestinal Behçet's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohn's disease; Rinvoq, a JAK inhibitor to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, and ulcerative colitis; Imbruvica for the treatment of adult patients with blood cancers; and Venclexta/Venclyxto to treat hematological malignancies. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; and Ubrelvy for the acute treatment of migraine with or without aura in adults; Qulipta for episodic migraine. In addition, the company offers Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure(IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Restasis, a calcineurin inhibitor immunosuppressant indicated to increase tear production; and eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus (HCV) genotype 1-6 infection and HCV genotype 1 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism. It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; I-Mab Biopharma; Genmab A/S; Janssen Biotech, Inc.; Genentech, Inc.; and California Institute for Biomedical Research (Calibr). The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",28.0,1.1,9.9,16.8,Significant,3.0,55th percentile,Medium,Traditional
ABC,Amerisourcebergen Corp,"1 West First Avenue
Conshohocken, PA 19428-1800
United States
610 727 7000
https://www.amerisourcebergen.com",Healthcare,Medical Distribution,46000,"AmerisourceBergen Corporation sources and distributes pharmaceutical products. Its U.S. Healthcare Solutions segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. The company also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; packaging solutions to various institutional and retail healthcare providers; clinical trial support, product post-approval, and commercialization support services; data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers; and pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturer. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; and provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics. The company's International Healthcare Solutions segment offers international pharmaceutical wholesale and related service, and global commercialization services; and distributes pharmaceuticals, other healthcare products, and related services to pharmacies, doctors, health centers and hospitals primarily in Europe. This segments also provides specialty transportation and logistics services for the biopharmaceutical industry. The company was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",12.0,1.3,5.2,5.6,Significant,3.0,5th percentile,Low,ESG
ABT,Abbott Laboratories,"100 Abbott Park Road
Abbott Park
North Chicago, IL 60064-6400
United States
224 667 6100
https://www.abbott.com",Healthcare,Medical Devices,115000,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",25.0,3.0,8.4,13.6,Significant,3.0,44th percentile,Medium,Traditional
ACN,Accenture Plc Cl A,"1 Grand Canal Square
Grand Canal Harbour
Dublin D02 P820
Ireland
353 1 646 2000
https://www.accenture.com",Technology,Information Technology Services,732000,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company has a collaboration with Amazon Web Services to develop cross-industry solutions. The company was founded in 1951 and is based in Dublin, Ireland.",10.0,0.3,4.8,4.6,Moderate,2.0,2nd percentile,Negligible,ESG
ADBE,Adobe Inc,"345 Park Avenue
San Jose, CA 95110-2704
United States
408 536 6000
https://www.adobe.com",Technology,Software—Infrastructure,29239,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",12.0,1.9,4.6,5.9,Low,1.0,5th percentile,Low,ESG
ADI,Analog Devices Inc,"One Analog Way
Wilmington, MA 01887
United States
781 935 5565
https://www.analog.com",Technology,Semiconductors,24450,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",24.0,10.1,5.9,7.7,,0.0,39th percentile,Medium,Traditional
ADM,Archer Daniels Midland Co,"77 West Wacker Drive
Suite 4600
Chicago, IL 60601
United States
312 634 8100
https://www.adm.com",Consumer Defensive,Farm Products,40360,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, the Cayman Islands, Brazil, Mexico, Canada, the United Kingdom, and internationally. The company operates in three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It originates, merchandises, stores, and transports agricultural raw materials, such as oilseeds and soft seeds. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.",36.0,18.0,5.0,13.0,Significant,3.0,83rd percentile,Severe,Traditional
